"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"金武町金武",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"読谷村古堅",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"読谷村古堅",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧石川市石川",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧石川市石川",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"沖縄市胡屋",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"沖縄市胡屋",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧具志川市具志川",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧具志川市具志川",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町与那城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町与那城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町平安座",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_i:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町平安座",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"北谷町北谷",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"北谷町北谷",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"中城村屋宜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"中城村屋宜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市普天間",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市普天間",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市大山",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市大山",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"浦添市安波茶",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"浦添市安波茶",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"西原町小波津",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"西原町小波津",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"勝連町津堅",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_i:",NA,NA,NA,NA,NA,NA,NA,"勝連町津堅",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵士族",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵士族",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市泉崎士族",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市泉崎士族",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市泉崎",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市泉崎",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市安里",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市安里",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"南風原町兼城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"南風原町兼城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"与那原町与那原",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"与那原町与那原",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧大里村古堅2",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧大里村古堅2",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧佐敷町佐敷",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧佐敷町佐敷",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧知念村知念",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧知念村知念",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"旧知念村久高",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"旧知念村久高",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧玉城村玉城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧玉城村玉城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧玉城村糸数",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧玉城村糸数",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧具志頭村具志頭",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧具志頭村具志頭",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧東風平町友寄",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧東風平町友寄",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"糸満市米須",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"糸満市米須",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"糸満市喜屋武",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"糸満市喜屋武",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"糸満市真壁",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"糸満市真壁",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"糸満市国吉",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"糸満市国吉",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"糸満市兼城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"糸満市兼城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"豊見城村保栄茂",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"豊見城村保栄茂",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市小禄安次嶺",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市小禄安次嶺",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"渡嘉敷村阿波連ムラアハレン",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"渡嘉敷村阿波連ムラアハレン",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"座間味村阿嘉",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_e:",NA,NA,NA,NA,NA,NA,NA,"座間味村阿嘉",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"粟国村粟国浜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"粟国村粟国浜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"渡名喜村渡名喜西",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"渡名喜村渡名喜西",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧仲里村真謝",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧仲里村真謝",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧具志川村兼城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧具志川村兼城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市池間",NA,NA,NA,NA,NA,"歯",NA
